Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iceland,7.5,7.5,7.4,7.8,8.3,8.1,7.9,8.6,8.4,8.5,7.8,7.9,8.1,8.3,8.8,7.7,7.5,7.1,7.1,6.4,5.7,5.9,5.6,5.9,5.9,5.2,5.1,4.7,5.2,4.7,4.5,4.8,4.8,4.6,4.9,4.6,5.0,5.5,5.6,5.6,6.3,5.2,5.6,5.1,5.0,5.4,5.5,5.5,5.2,4.6,4.9,4.6,..,..,..,..,..,..
Ireland,5.5,5.4,5.5,5.5,5.6,5.9,5.8,6.1,6.5,6.9,7.0,7.4,7.3,7.4,7.3,6.7,6.4,6.1,6.4,6.2,6.4,6.0,5.8,5.5,5.2,5.3,5.2,5.2,5.2,5.2,5.1,4.9,4.7,4.7,4.6,4.3,4.4,4.3,4.5,4.9,5.0,5.0,5.2,5.1,5.2,5.1,5.2,5.2,4.9,4.8,4.5,4.3,4.5,4.5,4.7,4.7,4.8,4.6
Israel,..,..,..,..,..,..,..,..,..,..,8.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.9,7.0,6.9,7.0,7.1,6.8,6.5,6.4,6.6,6.7,6.5,6.3,6.5,6.7,6.6,6.4,6.3,6.2,6.1,5.9,5.9,6.3,6.5,6.8,6.5,6.3,6.6,6.4,6.5,6.2,6.4,6.2,..
Italy,7.7,7.9,8.0,8.2,8.1,7.7,7.3,7.2,7.0,7.2,7.3,7.5,7.7,7.6,7.3,6.7,6.4,6.2,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.4,5.6,5.7,5.6,5.5,5.5,5.3,5.1,5.1,4.9,4.9,4.9,4.9,5.0,4.6,4.7,4.6,4.3,4.3,4.2,4.3,4.2,3.9,3.7,3.4,3.5,3.2,3.1,3.2,3.4,3.2
Japan,9.3,..,..,9.7,9.9,9.7,9.5,9.6,9.5,9.6,10.0,10.5,10.4,9.9,9.1,8.5,7.8,7.2,6.9,6.8,6.7,6.6,6.6,6.4,6.2,6.1,5.9,5.7,5.8,5.8,5.9,6.0,6.1,6.4,6.3,6.4,6.4,6.2,6.3,6.1,6.4,6.4,6.0,5.9,5.7,5.7,5.8,5.7,5.8,5.6,5.5,5.2,5.3,5.3,5.1,5.1,5.0,4.9
Korea,..,..,..,..,..,..,..,..,..,..,9.2,7.3,7.3,7.6,7.5,8.0,8.0,8.3,9.3,9.4,10.6,10.5,9.9,10.3,9.5,9.4,9.5,9.4,9.8,9.7,9.3,9.6,9.6,9.0,8.7,8.7,9.4,8.4,8.0,7.6,7.0,6.7,6.3,6.3,6.4,6.5,6.8,7.0,6.6,6.2,6.5,6.6,6.5,6.4,6.0,5.9,5.5,5.2
Latvia,11.0,10.5,10.0,9.5,8.6,8.8,9.8,9.9,10.2,10.0,10.2,10.0,9.4,9.8,10.0,10.0,9.6,10.0,10.2,10.0,9.8,9.8,9.7,9.5,9.2,9.3,9.7,9.7,9.5,9.2,8.9,8.4,7.2,5.7,4.6,4.5,3.9,4.0,4.0,3.9,3.9,4.0,4.2,4.4,4.6,5.6,6.6,7.0,5.9,4.6,4.4,5.2,5.5,5.7,6.3,6.9,6.6,6.8
Lithuania,10.1,9.9,9.3,8.7,8.6,8.4,9.2,9.2,9.5,9.7,9.5,9.2,8.8,8.8,8.8,9.0,9.0,9.2,9.1,9.4,9.2,9.1,9.4,9.6,9.7,9.7,9.9,9.7,9.6,9.4,9.8,9.2,8.1,6.4,6.4,6.1,5.7,5.3,5.2,5.1,4.8,4.5,4.7,5.0,5.7,6.0,6.5,7.1,7.5,6.5,6.0,6.3,6.9,6.9,7.6,7.6,7.4,7.5
Luxembourg,7.1,7.0,6.7,6.6,6.6,6.6,6.6,6.4,6.5,6.6,6.4,6.5,6.6,5.9,6.2,6.8,6.2,6.2,5.9,5.7,5.9,5.4,5.7,5.4,5.4,5.4,5.1,5.3,5.6,5.8,6.1,6.7,6.4,6.0,5.8,5.1,5.1,4.8,4.8,4.9,4.9,4.5,4.5,4.4,4.4,4.4,4.1,4.1,3.9,3.5,3.5,3.3,3.4,3.2,3.0,3.6,3.2,3.2
Mexico,..,..,..,..,..,..,..,..,..,..,7.0,..,..,..,..,..,..,..,..,..,7.1,..,..,..,..,7.4,..,..,..,..,7.4,7.4,7.4,7.2,7.2,7.0,7.0,7.3,7.2,7.5,7.0,6.5,6.0,5.6,5.7,5.6,5.4,5.4,5.3,5.0,5.0,4.9,5.0,4.9,4.8,4.6,4.4,4.3
